"Data Source","World Development Indicators",

"Last Updated Date","2017-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","4000","4700","4800","3700","4300","4700","4500","4900","4800","4900","4200","4200","5400","5700","6200","6400","5800","6000","5900","5200","5300","5300","5300","5100","7000","7300","7500","4600","1900","3400","3409","","","","","","","","","","21677","25021","17775","21696","25920","23532.128","22770.566",
"Angola","AGO","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","2600","4800","5000","11900","12800","15000","13900","22400","10700","13100","11100","11100","11000","6800","6900","7000","6900","5600","7600","7300","7700","7300","7400","5100","4399","4354","4343","4633","4849","4948","4965","5277","3361","3236","17060","12282","13072","14496","13716","13116","13042.376",
"Albania","ALB","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","600","600","1400","1900","1100","2700","3885","3974","3762","3800","4104","4309","4481","4930","5058","5140","9412","10373.2109418273","10309.1791376912","11196","1992","","306",
"Andorra","AND","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","145300","151200","159800","173400","201400","215500","252000","274500","295700","314400","330000","341600","324500","352300","349000","344800","340700","334500","355500","356900","354400","319800","370600","390200","405800","388600","408400","407400","402500","441200","470300","470936","473898","493857","553147","431300","471714","516679","504211","811221","1065038.01071509","1093318.56079486","1159025.93858519","1222183.5","1289638.76744056","1329918.21729481","1428202.79587628",
"United Arab Emirates","ARE","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","4700","5400","6200","6300","7200","8300","9500","10000","8700","9500","10100","10500","12200","12800","15100","16000","18800","19400","26300","30100","34000","34200","38000","39000","41100","44400","48330","50783","54952","71224","87217","","","","","170588","240855.107016004","269521","311758","327076","352224","397177.119","420096.377",
"Argentina","ARG","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","71700","75600","79000","71100","79000","89800","90000","93600","96500","103700","114400","113800","103900","109100","101400","100500","102300","111800","106200","101600","114000","78500","86300","83300","99500","112400","131400","171600","144600","183600","168815","124493","113178","91657","90518","81298","74162","79465","74649","74546","92847.5065402624","90214.5205338809","101716.268913446","145136.020724733","134521","145585.086","149333.888",
"Armenia","ARM","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2200","4300","4500","2900","4406","2804","2997","3842","5657","5939","6177","5975","6681","7632","8761","5561","6043","852","0","0","",
"American Samoa","ASM","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3420.57075456399","3577.61386138614","3963.0036477332","8580","9144","11759.184","",
